,partido,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños,Num_words_POST,sentimiento_clean
15,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-18,"La Comunidad de Madrid registra un fuerte crecimiento de su economía en el primer trimestre del año: 1,3% con respecto al anterior. 

Recuperó en 2022 toda la riqueza perdida durante la pandemia.

Libertad, estabilidad y seguridad jurídica. 

Con 🫰🏼GANAS","la comunidad de madrid registra un fuerte crecimiento de su economa en el primer trimestre del ao 13 con respecto al anterior 

recuper en 2022 toda la riqueza perdida durante la pandemia

libertad estabilidad y seguridad jurdica 

con ganas",Positive,1,0.067128554,0.058714703,0.8741567,False,False,False,False,209700,856,0.0040820219360991,686,0.0032713400095374,2800,0.0133524082021936,1586985,0.4734,70,39,comunidad madrid registra fuerte crecimiento economa primer trimestre ao 13 respecto anterior recuper 2022 toda riqueza perdida pandemia libertad estabilidad seguridad jurdica ganas
16,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"Con los vecinos de Parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupación, empleo y limpieza.

El sur de Madrid necesita un cambio.

Lo conseguiremos con más 🫰🏼GANAS que nunca.","con los vecinos de parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupacin empleo y limpieza

el sur de madrid necesita un cambio

lo conseguiremos con ms ganas que nunca",Positive,1,0.052539047,0.0459923,0.90146863,False,True,False,False,122700,490,0.0039934800325998,425,0.0034637326813365,1878,0.0153056234718826,1586985,0.4734,70,35,vecinos parla muchas ganas nuevo ayuntamiento solucione problemas ocupacin empleo limpieza sur madrid necesita cambio conseguiremos ms ganas nunca
17,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"🔴 Activamos bombardero de #BomberosCM para ayudar en la extinción del #IFPinofranqueado.

Todo nuestro apoyo a los cacereños."," activamos bombardero de bomberoscm para ayudar en la extincin del ifpinofranqueado

todo nuestro apoyo a los cacereos",Positive,1,0.06149262,0.1334221,0.80508524,False,False,False,False,191000,211,0.0011047120418848,362,0.0018952879581151,2082,0.0109005235602094,1586985,0.4734,70,18,activamos bombardero bomberoscm ayudar extincin ifpinofranqueado apoyo cacereos
18,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-21,El cambio es imparable.,el cambio es imparable,Positive,1,0.0673859,0.0530027,0.87961143,False,True,False,True,233700,857,0.0036670945656824,815,0.0034873769790329,2246,0.0096106118955926,1586985,0.4734,70,4,cambio imparable
19,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,"Ayuso anuncia en #EntrevistasABC un plan de Educación «libre, plural y de calidad» que priorice los contenidos sobre la ideología.",ayuso anuncia en entrevistasabc un plan de educacin libre plural y de calidad que priorice los contenidos sobre la ideologa,Positive,1,0.111199476,0.340799,0.5480015,False,True,False,True,39400,54,0.0013705583756345,123,0.0031218274111675,377,0.0095685279187817,1586985,0.4734,70,20,ayuso anuncia entrevistasabc plan educacin libre plural calidad priorice contenidos ideologa
20,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,Ganas de Madrid con ganas.,ganas de madrid con ganas,Positive,1,0.080278195,0.046978217,0.8727436,False,True,False,False,97400,324,0.0033264887063655,341,0.0035010266940451,1770,0.0181724845995893,1586985,0.4734,70,5,ganas madrid ganas
21,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,Orgullosos de la mejor sanidad de Europa.,orgullosos de la mejor sanidad de europa,Positive,1,0.041757517,0.036059733,0.9221828,False,True,True,False,297600,1056,0.0035483870967741,977,0.0032829301075268,3899,0.0131014784946236,1586985,0.4734,70,7,orgullosos mejor sanidad europa
22,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,"El 
@RMBaloncesto
 es doblemente grande: por sus éxitos deportivos y por su compromiso con los valores que nos hacen grandes. 

Gracias por traernos a casa la 11ª Copa de Europa y por haber llevado tan alto el nombre de Madrid y de España.","el 

 es doblemente grande por sus xitos deportivos y por su compromiso con los valores que nos hacen grandes 

gracias por traernos a casa la 11 copa de europa y por haber llevado tan alto el nombre de madrid y de espaa",Positive,1,0.031780057,0.024333017,0.94388694,False,True,False,False,96100,139,0.0014464099895941,318,0.003309053069719,1499,0.0155983350676378,1586985,0.4734,70,43,doblemente grande xitos deportivos compromiso valores hacen grandes gracias traernos casa 11 copa europa haber llevado tan alto nombre madrid espaa
23,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,"Quiero el mejor sur de la Comunidad de Madrid, con los mejores servicios públicos y en torno a unos valores, a una forma de ver la vida. Por el esfuerzo, el trabajo, la libertad y la vida.",quiero el mejor sur de la comunidad de madrid con los mejores servicios pblicos y en torno a unos valores a una forma de ver la vida por el esfuerzo el trabajo la libertad y la vida,Positive,1,0.050094575,0.07151766,0.87838775,False,True,False,False,132600,566,0.0042684766214177,406,0.0030618401206636,1880,0.0141779788838612,1586985,0.4734,70,37,quiero mejor sur comunidad madrid mejores servicios pblicos torno valores forma ver vida esfuerzo trabajo libertad vida
24,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-24,"Una gran universidad, un excelente hospital público, colegios, institutos, centros de salud, Metro… 

El PP ha llevado los mejores servicios a Móstoles.

Pido una amplia mayoría para el mejor Madrid.","una gran universidad un excelente hospital pblico colegios institutos centros de salud metro 

el pp ha llevado los mejores servicios a mstoles

pido una amplia mayora para el mejor madrid",Positive,1,0.17455792,0.064038396,0.7614037,False,True,False,False,108800,377,0.0034650735294117,347,0.0031893382352941,1639,0.0150643382352941,1586985,0.4734,70,30,gran universidad excelente hospital pblico colegios institutos centros salud metro pp llevado mejores servicios mstoles pido amplia mayora mejor madrid
25,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-25,"Se persigue a los castellanohablantes en su propio país. Sánchez permite que los nacionalistas incumplan las sentencias que amparan a personas, familias y empresas. Los que ahora gritan que “España es machista, racista, homófoba” callan desde hace décadas.",se persigue a los castellanohablantes en su propio pas snchez permite que los nacionalistas incumplan las sentencias que amparan a personas familias y empresas los que ahora gritan que espaa es machista racista homfoba callan desde hace dcadas,Negative,-1,0.9440259,0.03660356,0.01937057,False,True,True,False,328100,998,0.0030417555623285,1192,0.003633038707711,3350,0.0102103017372752,1586985,0.4734,70,38,persigue castellanohablantes propio pas snchez permite nacionalistas incumplan sentencias amparan personas familias empresas ahora gritan espaa machista racista homfoba callan hace dcadas
26,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-26,"Entrevista en 
@20m
: 

El domingo hay que ir a votar masivamente.","entrevista en 

 

el domingo hay que ir a votar masivamente",Neutral,0,0.03575115,0.9390434,0.025205517,False,True,True,False,131800,678,0.005144157814871,653,0.0049544764795144,2600,0.0197268588770864,1586985,0.4734,70,12,entrevista domingo ir votar masivamente
27,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"El 28 de mayo hay un voto que #CuidaLoTuyo
El 28 de mayo #VotaSeguro

¡Vota a VOX!

@monasterioR
 
@Ortega_Smith","el 28 de mayo hay un voto que cuidalotuyo
el 28 de mayo votaseguro

vota a vox


 
",Positive,1,0.08670283,0.14935327,0.76394385,False,True,False,True,10300,9,0.0008737864077669,126,0.0122330097087378,243,0.0235922330097087,245215,0.0731,11,19,28 mayo voto cuidalotuyo 28 mayo votaseguro vota vox
28,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"El próximo 28 de mayo ya hay una verdadera alternativa en Madrid con 
@monasterioR
 y 
@Ortega_Smith
.

¡Vota a VOX!

#CuidaLoTuyo
#VotaSeguro","el prximo 28 de mayo ya hay una verdadera alternativa en madrid con 

 y 



vota a vox

cuidalotuyo
votaseguro",Positive,1,0.04030244,0.07192092,0.8877767,False,True,False,True,7014,8,0.0011405759908753,75,0.0106928999144568,164,0.0233818078129455,245215,0.0731,11,22,prximo 28 mayo verdadera alternativa madrid vota vox cuidalotuyo votaseguro
29,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Primer acto de campaña en Mercamadrid para apoyar a la España que madruga.

Si VOX gobierna el 28 de mayo, las empresas y los trabajadores de aquí tendrán prioridad sobre los de fuera y los autónomos podrán elegir dos meses al año con cuota bonificada.

#VotaSeguro","primer acto de campaa en mercamadrid para apoyar a la espaa que madruga

si vox gobierna el 28 de mayo las empresas y los trabajadores de aqu tendrn prioridad sobre los de fuera y los autnomos podrn elegir dos meses al ao con cuota bonificada

votaseguro",Negative,-1,0.6772015,0.13886221,0.18393634,False,True,False,False,16500,38,0.0023030303030303,247,0.0149696969696969,480,0.029090909090909,245215,0.0731,11,46,primer acto campaa mercamadrid apoyar espaa madruga si vox gobierna 28 mayo empresas trabajadores aqu tendrn prioridad autnomos podrn elegir dos meses ao cuota bonificada votaseguro
30,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Después de muchos meses denunciando el problema desde Vox es un primer paso que se reconozca:

“Madrid tiene un problema en Batán”

Cerremos el centro de Menas. 

https://larazon.es/madrid/madrid-tiene-problema-seguridad-batan_20230511645cebbaea3194000175c48b.html vía 
@larazon_es","despus de muchos meses denunciando el problema desde vox es un primer paso que se reconozca

madrid tiene un problema en batn

cerremos el centro de menas 

 va 
",Negative,-1,0.52907586,0.2226885,0.24823563,False,True,True,False,15900,65,0.0040880503144654,419,0.0263522012578616,936,0.0588679245283018,245215,0.0731,11,30,despus meses denunciando problema vox primer paso reconozca madrid problema batn cerremos centro menas va
31,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,En Mercamadrid lo tienen claro,en mercamadrid lo tienen claro,Negative,-1,0.60387087,0.21676508,0.17936404,False,True,False,True,17000,16,0.0009411764705882,202,0.0118823529411764,508,0.0298823529411764,245215,0.0731,11,5,mercamadrid claro
32,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,¡Nos vemos esta tarde!,nos vemos esta tarde,Positive,1,0.011149601,0.25775456,0.7310958,False,True,False,False,10800,72,0.0066666666666666,103,0.009537037037037,227,0.0210185185185185,245215,0.0731,11,4,vemos tarde
33,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Por desgracias esto no es un caso aislado, es el día a día en muchos barrios y municipios abandonados por la Administración.

El 28 de mayo se va a terminar la permisividad con los okupas.","por desgracias esto no es un caso aislado es el da a da en muchos barrios y municipios abandonados por la administracin

el 28 de mayo se va a terminar la permisividad con los okupas",Negative,-1,0.88798636,0.07557326,0.036440376,False,False,True,False,9959,18,0.0018074103825685,143,0.0143588713726277,254,0.0255045687318003,245215,0.0731,11,35,desgracias caso aislado da da barrios municipios abandonados administracin 28 mayo va terminar permisividad okupas
34,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Descubre 'El Debate conversa', un nuevo programa del canal Enfamilia con entrevistas en profundidad a personas de referencia en España Rocío Monasterio es la primera invitada al nuevo programa de conversaciones que produce este periódico",descubre el debate conversa un nuevo programa del canal enfamilia con entrevistas en profundidad a personas de referencia en espaa roco monasterio es la primera invitada al nuevo programa de conversaciones que produce este peridico,Neutral,0,0.14468816,0.5233894,0.3319224,False,True,False,True,5975,3,0.0005020920502092,37,0.0061924686192468,60,0.0100418410041841,245215,0.0731,11,35,descubre debate conversa nuevo programa canal enfamilia entrevistas profundidad personas referencia espaa roco monasterio primera invitada nuevo programa conversaciones produce peridico
35,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Hoy en San Blas. Se acercan jóvenes a apoyarnos, están cansados de la inseguridad en las calles. 
Sin seguridad no hay libertad. 
Sólo queda Vox.","hoy en san blas se acercan jvenes a apoyarnos estn cansados de la inseguridad en las calles 
sin seguridad no hay libertad 
slo queda vox",Negative,-1,0.94678193,0.031699598,0.021518495,False,True,False,False,18200,61,0.0033516483516483,254,0.0139560439560439,600,0.0329670329670329,245215,0.0731,11,25,hoy san blas acercan jvenes apoyarnos estn cansados inseguridad calles seguridad libertad slo queda vox
36,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"📸 Más de 6.000 personas arropan a 
@Santi_ABASCAL
 y a nuestros candidatos 
@FloresJuberias
 y 
@JuanmaBadenas
 en el inicio de campaña de 
@vox_es
 en Valencia.

¡VOX no va a permitir que la Comunidad Valenciana sea una colonia del separatismo catalán!"," ms de 6000 personas arropan a 

 y a nuestros candidatos 

 y 

 en el inicio de campaa de 

 en valencia

vox no va a permitir que la comunidad valenciana sea una colonia del separatismo cataln",Negative,-1,0.8712792,0.06603294,0.06268786,False,True,False,True,14200,23,0.0016197183098591,220,0.0154929577464788,405,0.0285211267605633,245215,0.0731,11,39,ms 6000 personas arropan candidatos inicio campaa valencia vox va permitir comunidad valenciana colonia separatismo cataln
37,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Muy bueno el programa de 
@telemadrid
 de 
@ruta179
 👏👏
Por cierto 
@vox_es
 es el único partido que ha presentado candidatura en todos los municipios de la Comunidad de Madrid.","muy bueno el programa de 

 de 

 
por cierto 

 es el nico partido que ha presentado candidatura en todos los municipios de la comunidad de madrid",Positive,1,0.036325447,0.033840843,0.9298337,False,False,False,False,5926,10,0.0016874789065136,87,0.0146810664866689,206,0.0347620654741815,245215,0.0731,11,29,bueno programa cierto nico partido presentado candidatura municipios comunidad madrid
38,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-13,"Los delincuentes, pandilleros y okupas saben que si VOX llega al gobierno se les acabará el chollo que les han permitido los demás durante años.

Nosotros estamos del lado de los vecinos honrados y trabajadores.","los delincuentes pandilleros y okupas saben que si vox llega al gobierno se les acabar el chollo que les han permitido los dems durante aos

nosotros estamos del lado de los vecinos honrados y trabajadores",Negative,-1,0.95213056,0.027245093,0.020624362,False,True,False,False,28600,240,0.0083916083916083,382,0.0133566433566433,823,0.0287762237762237,245215,0.0731,11,35,delincuentes pandilleros okupas saben si vox llega gobierno acabar chollo permitido dems aos lado vecinos honrados trabajadores
39,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-13,"¿Cuento con vosotros?

📢Monasterio, contra Podemos: ""Ya saqué al de la coleta de la Ser y ahora me voy a encargar del resto""","cuento con vosotros

monasterio contra podemos ya saqu al de la coleta de la ser y ahora me voy a encargar del resto",Negative,-1,0.88281584,0.0777907,0.039393503,False,True,True,False,95200,600,0.0063025210084033,851,0.0089390756302521,2734,0.0287184873949579,245215,0.0731,11,23,cuento monasterio podemos saqu coleta ser ahora voy encargar resto
40,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-14,"Los comunistas siempre aprovechan los momentos de debilidad del pueblo para hacerse con el poder absoluto, no lo olvidemos.",los comunistas siempre aprovechan los momentos de debilidad del pueblo para hacerse con el poder absoluto no lo olvidemos,Negative,-1,0.8615724,0.08677557,0.051652037,False,False,False,False,3302040,11800,0.0035735484730651,24300,0.0073590871097866,43100,0.0130525372194158,245215,0.0731,11,19,comunistas siempre aprovechan momentos debilidad pueblo hacerse poder absoluto olvidemos
41,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-14,"Monasterio (Vox), contra Podemos: ""Ya saqué al de la coleta de la Ser y ahora me voy a encargar del resto""",monasterio vox contra podemos ya saqu al de la coleta de la ser y ahora me voy a encargar del resto,Negative,-1,0.7582739,0.16649127,0.07523489,False,True,False,True,110400,167,0.0015126811594202,308,0.0027898550724637,1441,0.013052536231884,245215,0.0731,11,21,monasterio vox podemos saqu coleta ser ahora voy encargar resto
42,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-15,"Un fuerte abrazo a los familiares del fallecido anoche en el incendio del Hospital Clínico. DEP. 

Mis deseos de pronta recuperación a los afectados y mi profundo agradecimiento a los servicios de Emergencias.","un fuerte abrazo a los familiares del fallecido anoche en el incendio del hospital clnico dep 

mis deseos de pronta recuperacin a los afectados y mi profundo agradecimiento a los servicios de emergencias",Positive,1,0.0057614846,0.016462283,0.9777762,False,True,True,False,48100,91,0.0018918918918918,242,0.005031185031185,785,0.0163201663201663,245215,0.0731,11,33,fuerte abrazo familiares fallecido anoche incendio hospital clnico dep deseos pronta recuperacin afectados profundo agradecimiento servicios emergencias
43,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-15,"Lluvia a San Isidro y un plan hidrológico nacional para los agricultores: ""Lo están pasando muy mal, son los grandes olvidados""",lluvia a san isidro y un plan hidrolgico nacional para los agricultores lo estn pasando muy mal son los grandes olvidados,Negative,-1,0.931986,0.046579715,0.021434367,False,True,True,False,10900,105,0.0096330275229357,100,0.0091743119266055,227,0.0208256880733944,245215,0.0731,11,21,lluvia san isidro plan hidrolgico nacional agricultores estn pasando mal grandes olvidados
44,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-15,"Ya sabemos que el PP aquí defiende el español y critica mucho a Bildu …
Ahora exíjale a su partido que haga lo mismo en el Congreso de los Diputados 
¿Qué van a votar los diputados del PP por Madrid ante la propuesta de VOX para ilegalizar Bildu?","ya sabemos que el pp aqu defiende el espaol y critica mucho a bildu 
ahora exjale a su partido que haga lo mismo en el congreso de los diputados 
qu van a votar los diputados del pp por madrid ante la propuesta de vox para ilegalizar bildu",Negative,-1,0.95713097,0.027973652,0.014895425,False,True,False,False,115600,252,0.0021799307958477,439,0.0037975778546712,748,0.0064705882352941,245215,0.0731,11,48,sabemos pp aqu defiende espaol critica bildu ahora exjale partido haga mismo congreso diputados qu van votar diputados pp madrid propuesta vox ilegalizar bildu
45,VOX,Rocío Monasterio, @monasterioR,339700,2023-05-15,"¡Feliz San Isidro! Maravillosa mañana en la pradera disfrutando de las tradiciones, la gastronomía y la alegría de los madrileños.

#VotaSeguro","feliz san isidro maravillosa maana en la pradera disfrutando de las tradiciones la gastronoma y la alegra de los madrileos

votaseguro",Positive,1,0.0052185124,0.010613851,0.98416764,False,True,False,False,20400,65,0.0031862745098039,157,0.0076960784313725,438,0.0214705882352941,245215,0.0731,11,21,feliz san isidro maravillosa maana pradera disfrutando tradiciones gastronoma alegra madrileos votaseguro
